ItemNum,ItemName,Dept_ID,Category_ID,Category_Name
111001,PINA COLADA B. M. 12MG,5,NOVELTY,NOVELTY
1111,DAVINCI,6,PRMCIGAR,PREMIUM CIGAR
11111,NAG CHAMPA 50G,5,NOVELTY,NOVELTY
111111,CHEAP BASTARD,6,PRMCIGAR,PREMIUM CIGAR
1111111,B.M.RED30ML,5,NOVELTY,NOVELTY
11111111,TOBACCO POUCH SMALL,5,NOVELTY,NOVELTY
1111111999,DRY HERB KIT,5,NOVELTY,NOVELTY
111111333,FUNKY MONKEY B.M. 30MG,5,NOVELTY,NOVELTY
1111115555,NIMBUS,5,NOVELTY,NOVELTY
111122,FOOS WICK,5,NOVELTY,NOVELTY
11115,50PK BRASS SCREEN,5,NOVELTY,NOVELTY
1111567,U-CAN ELIQUID CAN,5,NOVELTY,NOVELTY
111211,CE4 ATOMIZER,5,NOVELTY,NOVELTY
11122,THE BULL ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
11122210,GURKHA FURY,6,PRMCIGAR,PREMIUM CIGAR
11122230,BULL TORO,6,PRMCIGAR,PREMIUM CIGAR
1112229,JOYADE NICARAGUA,6,PRMCIGAR,PREMIUM CIGAR
1112230,JOYA DARK COROJO,6,PRMCIGAR,PREMIUM CIGAR
11122331,SPIRIT OF CUBA,6,PRMCIGAR,PREMIUM CIGAR
11122332,SPIRIT OF CUBA,6,PRMCIGAR,PREMIUM CIGAR
11122333,ESTILO CUBANO,6,PRMCIGAR,PREMIUM CIGAR
11122334,HAVOC TORO BY AJ,6,PRMCIGAR,PREMIUM CIGAR
111331,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111332,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111333,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111334,PETER STOKKEBYE,5,NOVELTY,NOVELTY
1113345,PETER STOKKEBYE,5,NOVELTY,NOVELTY
111335,PETER STOKKEBYE,5,NOVELTY,NOVELTY
