ItemNum,ItemName,Dept_ID,Cost,Category_ID,Category_Name,AltSku
026200144771,SLIM JIM SAVAGE ORIG,9,0.00000000,NONE,NONE,
02657318,NEWPORT MENTHOL 100 BOX,CIGARETE,0.00000000,NONE,NONE,
02657512,NEWPORT MENTHOL KING BOX,CIGARETE,0.00000000,NONE,NONE,
02665618,NEWPORT RED KING,CIGARETE,0.00000000,NONE,NONE,
02665715,NEWPORT RED 100,CIGARETE,0.00000000,NONE,NONE,
027541000481,NIAGRA GALLON,ZIIPLAB,0.00000000,NONE,NONE,
02754185,NIAGRA WATER 16.9OZ,9,0.27000000,NONE,NONE,
02835727,MARLBORO RED KING BOX,CIGARETE,0.00000000,NONE,NONE,
02836328,MARLBORO RED 100 BOX,CIGARETE,0.00000000,NONE,NONE,
02838423,MARLBOROGOLD KING BOX,CIGARETE,0.00000000,NONE,NONE,
028400331548,LAYS BAKED ORIGINAL,9,0.00000000,NONE,NONE,
028400355599,LAYS BARBECUE CHIPS,9,0.00000000,NONE,NONE,
028400355841,RUFFLES CHEDDAR & SOUR CREAM,9,0.00000000,NONE,NONE,
028400356145,CHEETOS CRUNCHY 2.75 OZ,9,0.00000000,NONE,NONE,
028400356169,CHEETOS FLAMIN HOT2.75 OZ,9,0.00000000,NONE,NONE,
028400356787,DORITOS COOL RANCH,9,0.00000000,NONE,NONE,
028400357012,DORITOS NACHO CHEESE,9,0.00000000,NONE,NONE,
028400357395,FUNYUNS 1 7/8 OZ,9,0.00000000,NONE,NONE,
028400357449,SUN CHIP HARVEST CHEDDAR,9,0.00000000,NONE,NONE,
028400357777,MISS VICKIES JALAPENO CHIPS,9,0.00000000,NONE,NONE,
028400357838,MISS VICKIES SEA SALT CHIPS,9,0.00000000,NONE,NONE,
02846529,MARLBORO GOLD 100 BOX,CIGARETE,0.00000000,NONE,NONE,
029428394823,PUFF MINI MIXED FRUIT,ZIIPLAB,0.00000000,NONE,NONE,
02TG5FIG33301125,CALIBURN A2 0.9 EACH,5,0.00000000,NONE,NONE,6941736502601
030100125150,KEEBLER CHEESE & PEANUT BUTTER,9,0.00000000,NONE,NONE,
030100125181,KEEBLER PEANUT BUTTER CRACKERS,9,0.00000000,NONE,NONE,
030100125211,KEEBLER CLUB AND CHEDDAR,9,0.00000000,NONE,NONE,
030100211488,KEEBLER CHEESE & CHEDDAR,9,0.00000000,NONE,NONE,
03206262,$10 60ML CLEARANCE,CLEARNCE,0.00000000,NONE,NONE,040232393068
03230350,LIX SALT NIC 35MG,SALT NIC,0.00000000,NONE,NONE,02533353
03248234823890,PUFF MINI RED WINE,ZIIPLAB,0.00000000,NONE,NONE,
